id_1,id_2
F2M32,F2F30
Brother,Class
Brother,Male
Child,Person
Child,Class
Daughter,Female
Daughter,Child
F10F172,Female
F10F172,F10M173
F10F172,Thing
F10F172,F10F186
F10F172,Grandmother
F10F172,NamedIndividual
F10F172,F10M171
F10F172,F10F179
F10F174,Thing
F10F174,F10F177
F10F174,NamedIndividual
F10F174,Mother
F10F174,Person
F10F175,F10F174
F10F175,NamedIndividual
F10F175,Female
F10F175,Person
F10F175,F10M173
F10F175,Sister
F10F175,Thing
F10F175,Granddaughter
F10F175,F10M176
F10F177,Thing
F10F177,Granddaughter
F10F177,Daughter
F10F177,F10F175
F10F177,Female
F10F177,F10M178
F10F177,NamedIndividual
F10F177,F10F174
F10F179,Sister
F10F179,F10F172
F10F179,F10M180
F10F179,F10M171
F10F179,Person
F10F179,F10F181
F10F179,F10M173
F10F179,NamedIndividual
F10F179,F10F186
F10F179,Female
F10F181,F10F186
F10F181,Sister
F10F181,F10F179
F10F181,Female
F10F181,F10F172
F10F181,F10F195
F10F181,Thing
F10F185,NamedIndividual
F10F185,Female
F10F185,Person
F10F185,F10M184
F10F186,F10F192
F10F186,Grandmother
F10F186,Daughter
F10F186,F10M173
F10F186,NamedIndividual
F10F186,Mother
F10F186,Female
F10F186,F10F172
F10F186,Thing
F10F186,Person
F10F186,F10M187
F10F186,F10F179
F10F186,Sister
F10F186,F10F193
F10F189,Thing
F10F189,NamedIndividual
F10F189,Mother
F10F189,F10M190
F10F189,Female
F10F189,Person
F10F191,Female
F10F191,F10M190
F10F191,Thing
F10F191,Person
F10F192,F10F193
F10F192,F10F186
F10F192,Sister
F10F192,Person
F10F192,Daughter
F10F192,F10M187
F10F192,Female
F10F192,F10M188
F10F193,F10M194
F10F193,Granddaughter
F10F193,F10M188
F10F193,F10M187
F10F193,F10F192
F10F193,Female
F10F193,F10F186
F10F195,F10M173
F10F195,F10F186
F10F195,F10M171
F10F195,Thing
F10F195,F10F179
F10F195,F10M196
F10F195,Grandmother
F10F195,Female
F10F195,F10M197
F10F195,F10F181
F10F195,F10F172
F10F198,Person
F10F198,Thing
F10F198,F10M199
F10F198,NamedIndividual
F10F198,Mother
F10F198,Female
F10F200,F10M199
F10F200,Thing
F10F200,NamedIndividual
F10F200,Female
F10F200,Person
F10F201,Granddaughter
F10F201,Person
F10F201,F10F198
F10F201,F10M202
F10F201,F10M199
F10F201,NamedIndividual
F10M171,Person
F10M171,F10F181
F10M171,F10F195
F10M171,F10M173
F10M171,F10F186
F10M171,NamedIndividual
F10M171,F10F172
F10M171,F10F179
F10M171,Father
F10M173,Person
F10M173,F10F179
F10M173,F10M171
F10M173,F10F181
