id_1,id_2
0,1
2,3
2,4
5,6
5,3
7,8
7,5
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,16
17,11
17,18
17,14
17,19
17,6
20,17
20,14
20,8
20,6
20,10
20,21
20,11
20,22
20,23
18,11
18,22
18,7
18,20
18,8
18,24
18,14
18,17
16,21
16,9
16,25
16,15
16,6
16,26
16,10
16,14
16,12
16,8
26,12
26,21
26,16
26,8
26,9
26,27
26,11
28,14
28,8
28,6
28,29
12,30
12,13
12,7
12,10
12,14
12,19
12,8
12,9
12,11
12,6
12,31
12,16
12,21
12,32
33,11
33,14
33,19
33,34
33,8
33,6
35,8
35,34
35,11
35,6
30,32
30,12
30,21
30,6
30,7
30,31
30,8
30,36
32,37
32,22
32,36
32,31
32,30
32,8
32,12
27,10
27,12
27,15
27,11
27,16
27,38
27,13
27,8
27,39
27,26
27,9
40,6
40,11
40,41
40,14
40,19
40,8
42,41
42,11
42,14
42,8
42,6
43,22
43,6
43,40
43,44
43,41
43,14
15,6
15,26
15,27
15,10
15,12
15,14
15,9
15,16
15,45
10,6
10,16
10,15
10,26
10,27
10,17
10,12
10,4
10,45
10,9
23,14
23,20
23,11
24,4
24,11
24,14
25,11
25,6
25,16
25,14
46,45
46,11
46,47
46,26
47,46
47,4
47,11
47,48
47,6
47,49
47,14
47,29
29,46
29,4
29,11
29,28
29,6
29,49
29,47
29,48
29,2
31,32
31,4
31,30
31,12
31,36
31,50
36,45
36,6
36,49
36,32
36,48
36,33
34,11
34,49
34,35
34,33
37,14
37,11
37,6
37,32
38,6
38,4
38,11
38,39
38,50
38,14
39,4
39,40
39,11
39,48
39,38
39,41
39,14
39,27
39,43
39,45
41,42
41,11
41,48
41,6
41,14
41,43
41,40
44,14
44,4
44,6
44,43
51,52
51,53
51,13
51,19
51,8
51,11
52,53
52,51
52,54
52,14
52,19
52,55
52,8
52,6
55,6
55,21
55,56
55,11
55,22
55,7
55,52
55,14
55,57
54,21
54,11
54,58
54,7
54,52
54,14
54,8
54,22
54,6
53,14
53,6
57,52
57,14
57,4
57,45
57,11
57,6
57,54
57,55
56,4
56,11
56,6
58,4
58,11
58,6
58,14
59,13
59,60
59,14
59,61
59,8
59,62
59,6
59,63
59,64
65,19
65,8
65,66
65,67
65,13
68,14
68,8
68,11
68,6
66,69
66,6
66,21
66,11
66,7
66,70
66,67
66,71
66,8
71,69
71,8
71,21
71,22
71,6
71,7
71,70
62,13
62,7
62,14
62,19
62,72
62,8
62,21
62,64
62,60
62,11
62,63
62,73
74,11
74,13
74,14
74,19
74,75
76,14
76,19
76,77
76,8
76,78
76,11
76,6
63,14
63,79
63,59
63,73
63,21
63,62
63,7
73,62
73,19
73,21
73,64
73,11
73,60
73,63
73,7
73,14
1,11
1,22
1,0
1,6
1,80
1,13
1,73
1,19
80,8
80,81
80,11
80,22
80,6
80,7
80,1
80,82
61,8
61,64
61,83
61,59
61,21
61,11
61,60
61,7
61,63
61,84
61,14
61,19
61,73
84,14
84,85
84,83
84,11
84,22
60,59
60,2
60,63
60,50
60,14
60,65
60,45
60,66
60,11
60,61
60,67
60,62
67,48
67,14
67,4
67,11
67,6
67,49
69,14
69,4
69,71
69,70
70,14
70,4
70,11
70,49
70,69
70,71
70,66
70,48
70,2
72,11
72,62
72,6
72,75
72,50
72,14
72,4
72,45
75,4
75,11
75,74
75,49
75,62
75,78
75,50
75,48
75,45
78,14
78,4
78,45
78,11
78,6
78,49
78,75
77,14
77,4
77,11
77,6
77,49
77,78
77,76
77,48
79,14
79,11
79,6
79,63
86,14
86,73
86,4
86,1
86,11
87,45
87,0
87,4
87,80
87,11
87,6
87,1
87,50
87,14
0,48
0,80
0,14
0,4
0,11
0,49
82,14
82,45
82,11
82,6
82,81
81,11
81,6
81,49
81,48
81,80
81,14
83,61
83,11
83,6
83,84
83,14
83,45
85,14
85,11
64,63
64,4
64,73
64,61
64,50
64,14
64,62
64,45
64,59
88,8
88,89
88,90
89,14
89,91
89,90
89,8
89,92
89,11
89,6
89,93
89,13
89,7
94,11
94,95
94,14
94,19
94,13
94,8
94,96
97,11
97,98
97,19
97,13
97,8
99,98
99,11
99,22
99,6
99,100
99,14
99,19
99,101
99,8
98,11
98,6
98,95
98,8
98,21
98,99
93,96
93,89
93,7
93,14
93,8
93,21
93,11
93,22
93,6
93,92
90,50
90,88
90,89
90,6
91,45
91,11
91,6
91,89
91,50
91,4
92,14
92,4
92,91
92,11
92,93
96,14
96,94
96,4
96,89
96,11
96,6
96,92
96,95
96,50
96,48
96,45
95,4
95,94
95,6
95,49
95,11
100,11
100,99
100,14
100,4
100,101
101,6
101,49
101,48
101,14
101,100
101,11
102,8
102,103
102,11
102,6
102,104
102,13
102,14
102,19
104,6
104,102
104,105
104,14
106,7
106,107
106,8
106,11
106,22
103,104
103,102
103,11
105,104
105,14
105,4
105,45
107,4
107,106
107,6
108,13
108,109
108,14
108,110
108,111
108,8
108,11
110,6
110,109
110,112
110,14
110,111
110,8
110,21
113,114
113,11
113,6
113,111
113,19
113,13
113,14
115,8
115,116
115,14
115,11
115,6
109,6
109,108
109,50
109,14
109,4
109,45
112,14
112,4
112,11
112,110
112,6
111,109
111,48
111,2
111,14
111,108
111,110
111,45
111,114
111,11
114,48
114,111
114,116
114,113
114,4
114,49
116,114
